username,balance_ETH1_ETH,balance_ETH2_ETH
lQqmRJdg,12388,32294
aWDvCEiS,9693,16236
xnsyHKax,38938,67192
TeWkyMTK,65809,32114
KoAjYZbg,43955,15060
BvPoRkOl,56729,26812
gZKobVvp,44121,14034
TWrbSQEs,76672,64256
ETShTNyr,8101,83099
ZhczOKsa,41787,15680
hXWusLiI,16063,48839
NPJvNZnI,58437,29615
hHPFzFhT,72496,7798
HhQNIETc,30750,14476
yEuILJNE,17503,12454
Squeylsr,8765,2983
OvLSqsvt,64390,62263
EvHMzKbu,84747,66310
NcIPonBQ,67156,87921
AqVWwRbT,18974,38473
hJBGnXrB,7057,85818
QfGnaeip,19512,30398
BJZjoRyQ,33258,64197
nMkYmaKL,74350,62280
WUgvEEqq,77422,17256
YlKwJzXP,82114,37724
FWWYnWJe,27057,74057
InXPwhCF,35937,88954
dddmaToF,3261,20421
amuobdlW,44195,5439
ttsnlNWp,58459,50750
zOKIdByy,32597,19330
gcTKDudW,29652,77180
hOqGkBYW,37493,28546
DhboScmx,64879,77838
jOwrDAqq,85178,18293
aAdhWvot,27156,57687
UyBdPJqB,42003,25321
tuvfHyXy,32258,89286
qcHjtmct,30416,1487
IiCgtzNf,34391,10698
grSDJvEC,24633,19852
qdFUCFAa,6586,20407
RTcBVkAp,89200,42858
yJqccDKr,61092,24056
zqxOHXcJ,71826,53820
xkjzJYUE,24503,71001
slrXGVgT,67494,28243
ZHCfpHry,54977,68392
PsWWISCN,50035,51087
vYvNfjxM,72096,62588
zXvkQZxE,10632,82593
retKdNHy,72475,27380
pYSKrVjZ,69450,64384
mEIfsRZu,59127,81500
QuUzDtzJ,58949,84898
eCVMnmfE,77210,31031
nPoFfqUY,86755,32206
TDzGkSlY,30306,75914
KODqnvSt,71746,60682
dYseTKwI,45205,51285
dMypqzKK,9543,21413
LLzMkgKr,58363,31840
smRTQZYt,88641,23869
dxwVyUWo,22699,15509
BCBKkyGE,64808,33017
yhhAClsY,55843,47830
oqeUayOI,81816,11368
gKVXFLrl,34699,13757
NlEGurVk,41457,68663
diOMmTCY,61809,73320
qHMUxBoi,69258,53246
uXNWeEko,89209,39855
FrkJKAle,73663,47655
KtiBfpGa,70599,35435
raBFKjkI,29843,23209
phtZWzhO,83846,67877
jKKIcsZA,69482,48602
YpooemTw,11949,38529
ApvnXzyp,30212,67643
oAhOkdqW,15307,57981
wINaYwuM,8545,73730
adxCCttN,39313,78009
PHFGQXHB,69394,26240
ssxvOSdZ,65717,82993
lzYpAgMR,66078,19275
UMWQDCQg,86581,42306
BJFmJsmf,83457,71231
ZRNnPRii,87207,58637
UmlJlYDW,48975,56918
JixuFFxr,50031,46132
JohywIKv,34637,17239
wTErHVgD,1574,12210
togXUnwz,21088,87060
NygPMMpn,8191,72697
LcClTzdN,76178,57980
IQwzSsKO,14633,81251
IwhRcMzx,36146,10180
PSKfmbkQ,4273,56954
pVjARMbH,42150,7027
hfLEsRxH,39730,11020
pjtubFwk,18454,76129
gImnhksK,74935,82132
iqKEhyhy,9035,32446
grlSumLt,41166,59047
RcTtBsvn,67678,50507
pWiESYoW,56022,87655
NiekjpvH,43247,22825
beLjgvTF,31536,32907
PPcgUqWU,52221,89981
SiqRGAox,47779,40654
yhxNFXSI,57977,59966
mgkvHqDw,35549,42633
znPnFgGI,63505,18725
rzHeTRdj,23388,42553
flmqMtNO,76947,50808
QtUDPuVD,32872,77954
RFJOUUMX,41791,52789
IeIkrfdg,72033,39616
BFtAAKqJ,19304,1124
VNkOHibN,28849,76145
UHJpbmiv,30971,79707
ChEMMXsA,12449,47652
enyQVUHs,33767,57738
CthvJLnp,87687,5547
WsOQbUQb,75161,2662
TMWgLkxa,15111,74312
uXMxPcdk,45970,58290
SsurHLcu,88347,17250
OErKvvFk,19168,39146
TTzFUQqx,60715,59253
bvHoCbBD,39170,56952
ELsEbhbR,62001,71549
ZFmMjkjI,53001,64147
zGhaSfdI,18878,38740
YxwuIsqp,81304,34022
jytWoVtq,61326,20338
fUWpNTRC,31510,37583
OCGtQmgi,46409,52441
nrjyETaU,81851,45461
VFemvELs,36615,48332
wbWSluNR,29671,88095
pcJyaWKb,55371,57452
REDrBrcX,78900,38490
SaPsLJYD,73378,85607
LZJSjNuE,65905,3862
xhdEuQBz,13343,34314
twmQGQRo,38420,32219
JAWAYPJF,1349,13517
TGxXJaOJ,64907,31893
XYofhlrs,61022,50688
tlvfEVSf,44235,25937
xMgcgHVQ,83300,22816
ecWjhWlQ,52514,20325
xDKvVWLa,71449,44990
AJwnOXeZ,25153,52514
eGpccrMJ,37189,7673
HKpvTpCo,1137,26178
OjhzmPcH,31954,77781
MsPRWHyR,39755,72858
EFpPLjqb,6301,48211
TtrWtYfb,3372,64579
mSSCOdRl,27422,15396
wHJoMeXR,52218,72579
fqQNgYDJ,52819,46007
ZHiMdsEL,25456,33738
nULmWJic,33540,57954
JPggGPdl,56647,79432
uzMjUNfP,76514,41822
QsEjroaF,2593,41130
flxcyCHY,72622,23138
AvtmzCHb,30360,57617
NFPIDbXv,68682,88742
AtqibOtY,2947,78276
IvqogNeO,68227,58065
nmCkfilr,55123,77041
GbMtKGgL,53843,8141
zfSNPlFN,26716,62327
nDaujTiH,73664,59431
xHCbxhfv,63215,28940
paqRMtHA,50088,10484
MSFArlMm,5760,9259
UAClGVCN,65277,84809
pzMQUmEf,31673,2313
WDHrQBwK,35717,33439
PxgoptXQ,45477,46138
ialLuRmQ,34948,33613
IZxRFrVp,31390,55386
fIvWGBYc,1553,49618
VzGkLQZX,47721,59928
UKgNImzE,35772,70103
oNiErjbB,56036,37377
RhUygfiu,5078,3497
bAWIgdke,78910,53230
wsuOnfVK,82400,76092
EodPJIyx,59750,10287
NQFdtDyy,10576,56919
xBTzKEzT,34300,55686
sppGYzIV,73158,74490
gozQRSIX,43776,8566
tGheIUEy,82198,15865
atKmCgcY,39656,29969
AHXFoHto,62075,24349
tsThGMLs,68910,50789
JcAuwoNr,4941,24247
tDxDzJLm,62350,40981
WRmnBrxV,6503,80534
ibbLyQAN,9408,26824
siKgJnND,60300,12095
ePVDeSlG,66897,35185
dczIHsMt,24085,25310
KNvZnlKu,57908,60020
uniAJIsM,4230,29827
xEHlArUS,59248,67098
ONdoQrGu,78430,49570
enVgzEGa,62405,62297
BEuVWuIu,79466,73294
AqUwKFUG,24615,73209
IPSZOTQz,61439,17420
eoCVQRKZ,49352,48075
sblHoIxi,16542,24128
obeJnnYn,51932,68595
vTsqBVgp,56080,59483
IpyrQOrb,12272,70113
YBbpUzjK,83416,70483
LnhmsFzn,77205,38427
uXFJUDaj,33840,40871
RkKpjNWr,32342,25279
jbgSfcmy,49459,27840
mqZfedwR,86285,26757
LgQOnmhJ,38215,2392
fpfpewmU,39920,80931
rGEsspKs,15285,6770
ZJDYiKNP,17180,26532
